id,kategori,ozellikler,instruction,input,expected_output,metindeki_etiketler,maskelenecek_etiketler,pred,dogru,schema_neutral,out_of_schema_tag
11,tam,caps,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.",ÇOCUĞUMUN OKUL SERVİSİ İÇİN ADRES HÜRRİYET MAH. AKASYA SOK. NO:202 YILDIRIM/BALIKESİR TEL (552) 439 81 80,ÇOCUĞUMUN OKUL SERVİSİ İÇİN ADRES [ADRES] TEL [TEL],[ADRES] [TEL],[ADRES] [TEL],ÇOCUĞUMUN OKUL SERVİSİ İÇİN ADRES [ADRES] TEL (552) 439 81 80,False,True,False
12,tam,cok_kisi,Kişisel verileri tespit edip ilgili etiketlerle değiştir; başka değişiklik yapma.,kredi başvurumun durumunu öğrenmek istiyorum adım Gürsal Durdu tc 47654407670 ayrıca 26.05.1953'te doğanlara özel kampanya Ayten Türk'e tanımlansın,kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN] ayrıca [DOGUM_TARIHI]'te doğanlara özel kampanya [AD]'e tanımlansın,[AD] [DOGUM_TARIHI] [TCKN],[AD] [DOGUM_TARIHI] [TCKN],kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN] ayrıca [DOGUM_TARIHI]'te doğanlara özel kampanya [AD]'e tanımlansın,True,True,False
13,tam,kayit,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.","personel dosyası güncellemesi: tc kimlik no 984-615-427-40, ip 10.35.239.107, imza kaydı imza hash 5ccd45fa, kan grubu 0 Rh negatif, cvv 933, mac 1F:FA:B2:B3:CF:1D","personel dosyası güncellemesi: tc kimlik no [TCKN], ip [IP_ADRES], imza kaydı [IMZA], kan grubu [KAN_GRUBU], cvv [CVV], mac [MAC_ADRES]",[CVV] [IMZA] [IP_ADRES] [KAN_GRUBU] [MAC_ADRES] [TCKN],[CVV] [IMZA] [IP_ADRES] [KAN_GRUBU] [MAC_ADRES] [TCKN],"personel dosyası güncellemesi: tc kimlik no [TCKN], ip [IP_ADRES], imza kaydı [IMZA], kan grubu [KAN_GRUBU], cvv [CVV], mac [MAC_ADRES]",True,True,False
14,tam,sozle,Aşağıdaki mesajda kimliği belirlenebilir kılan ne varsa etiketiyle ört.,sözleşme feshi talep ediyorum sözleşme no 4762-65113 tc sıfır sekiz iki beş üç dört beş dokuz yedi altı dokuz yedi dört üç iki beş,sözleşme feshi talep ediyorum sözleşme no [SOZLESME_NO] tc [TCKN],[SOZLESME_NO] [TCKN],[SOZLESME_NO] [TCKN],sözleşme feshi talep ediyorum sözleşme no [SOZLESME_NO] tc [TCKN],True,True,False
15,tam,duz,Gizlilik filtresi uygula: tüm kişisel alanlar etikete dönüşsün.,şirket aracının muayenesi yaklaştı plaka 40 K 7157 ruhsat no IO-530847,şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO],[PLAKA] [RUHSAT_NO],[PLAKA] [RUHSAT_NO],şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO],True,True,False
16,tam,kayit,Bu satırdaki her kişisel bilgiyi maskeleyerek yeniden yaz.,"sisteme girilecek kayıt: ehliyet no D6029022, plaka 32 P 8482, cinsiyeti erkek, kart no 5315 8274 1288 0432, adresi Bahçelievler Mah. Akasya Sokak No:162 D:13 Maltepe/Aydın, engel durumu %50 engelli raporu mevcut, sözleşme no 2025/6139-A","sisteme girilecek kayıt: ehliyet no [EHLIYET_NO], plaka [PLAKA], cinsiyeti [CINSIYET], kart no [KART], adresi [ADRES], engel durumu [ENGEL_DURUMU], sözleşme no [SOZLESME_NO]",[ADRES] [CINSIYET] [EHLIYET_NO] [ENGEL_DURUMU] [KART] [PLAKA] [SOZLESME_NO],[ADRES] [CINSIYET] [EHLIYET_NO] [ENGEL_DURUMU] [KART] [PLAKA] [SOZLESME_NO],"sisteme girilecek kayıt: ehliyet no [EHLIYET_NO], plaka [PLAKA], cinsiyeti [CINSIYET], kart no [KART], adresi [ADRES], engel durumu [ENGEL_DURUMU], sözleşme no [SOZLESME_NO]",True,False,False
17,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,vpn erişimi açılsın ip 142.177.160.143 mac 49:B0:48:4C:B0:63,vpn erişimi açılsın ip [IP_ADRES] mac [MAC_ADRES],[IP_ADRES] [MAC_ADRES],[IP_ADRES] [MAC_ADRES],vpn erişimi açılsın ip [IP_ADRES] mac [MAC_ADRES],True,True,False
18,tam,caps,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.",YABANCI MÜŞTERİ KAYDI UYRUĞU İRAN PASAPORT U64734533,YABANCI MÜŞTERİ KAYDI UYRUĞU [UYRUK] PASAPORT [PASAPORT_NO],[PASAPORT_NO] [UYRUK],[PASAPORT_NO] [UYRUK],YABANCI MÜŞTERİ KAYDI UYRUĞU İRAN PASAPORT U64734533,False,False,False
19,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,din hanesi Alevi olarak görünüyor değiştirmek istiyorum,din hanesi [DIN] olarak görünüyor değiştirmek istiyorum,[DIN],[DIN],din hanesi [DIN] olarak görünüyor değiştirmek istiyorum,True,True,False
20,tam,sozle,Kişisel verileri tespit edip ilgili etiketlerle değiştir; başka değişiklik yapma.,sözleşme feshi talep ediyorum sözleşme no 2028/2961-A tc sıfır dokuz üç sekiz dokuz dokuz bir sekiz yedi sekiz beş,sözleşme feshi talep ediyorum sözleşme no [SOZLESME_NO] tc [TCKN],[SOZLESME_NO] [TCKN],[SOZLESME_NO] [TCKN],sözleşme feshi talep ediyorum sözleşme no [SOZLESME_NO] tc [TCKN],True,True,False
21,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,kripto çekim adresim TurdG9k5xIjg2r24r3kPsqyzV7Co2VyH7G onay bekliyor,kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor,[KRIPTO_CUZDAN],[KRIPTO_CUZDAN],kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor,True,True,False
22,tam,"ekli,caps",Metindeki tüm kişisel verileri uygun etiketlerle maskele.,91112836854'ÜN ÜZERİNE KAYITLI HAT SAYISINI ÖĞRENEBİLİR MİYİM,[TCKN]'ÜN ÜZERİNE KAYITLI HAT SAYISINI ÖĞRENEBİLİR MİYİM,[TCKN],[TCKN],[TCKN]'ÜN ÜZERİNE KAYITLI HAT SAYISINI ÖĞRENEBİLİR MİYİM,True,True,False
23,tam,"ekli,caps",Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,ONURKOR11'İN OTURUMLARI KAPATILSIN,[KULLANICI_ADI]'İN OTURUMLARI KAPATILSIN,[KULLANICI_ADI],[KULLANICI_ADI],[KULLANICI_ADI]'İN OTURUMLARI KAPATILSIN,True,True,False
24,tam,caps,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.",SÖZLEŞME FESHİ TALEP EDİYORUM SÖZLEŞME NO 2028/8470-A TC 260-563-872-54,SÖZLEŞME FESHİ TALEP EDİYORUM SÖZLEŞME NO [SOZLESME_NO] TC [TCKN],[SOZLESME_NO] [TCKN],[SOZLESME_NO] [TCKN],SÖZLEŞME FESHİ TALEP EDİYORUM SÖZLEŞME NO [SOZLESME_NO],False,True,False
25,tam,duz,Gizlilik filtresi uygula: tüm kişisel alanlar etikete dönüşsün.,kredi başvurumun durumunu öğrenmek istiyorum adım Simber Şensoy tc 3782 5513 262,kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN],[AD] [TCKN],[AD] [TCKN],kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN],True,True,False
26,tam,sozle,Aşağıdaki mesajda kimliği belirlenebilir kılan ne varsa etiketiyle ört.,internetten yaptığım ödeme görünmüyor kart no dört iki yedi dokuz yedi bir dört iki sıfır altı sıfır skt 10/27,internetten yaptığım ödeme görünmüyor kart no [KART] skt [KART_SKT],[KART] [KART_SKT],[KART] [KART_SKT],internetten yaptığım ödeme görünmüyor kart no [KART] skt 10/27,False,True,False
27,tam,duz,Gizlilik filtresi uygula: tüm kişisel alanlar etikete dönüşsün.,çalışan Tolga Kurt Pusula Lojistik A.Ş. bünyesinde 30 yaşında kadın,çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [CINSIYET],[AD] [CINSIYET] [ISYERI] [YAS],[AD] [CINSIYET] [ISYERI] [YAS],çalışan [AD] Pusula Lojistik A.Ş. bünyesinde 30 yaşında [YAS],False,False,False
28,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,kripto çekim adresim T9rPILzpjISlw9dlu7CwfXANI5Ec3C0OZI onay bekliyor,kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor,[KRIPTO_CUZDAN],[KRIPTO_CUZDAN],kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor,True,True,False
29,tam,duz,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.",yabancı müşteri kaydı uyruğu Gürcistan pasaport U22713752,yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO],[PASAPORT_NO] [UYRUK],[PASAPORT_NO] [UYRUK],yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO],True,False,False
30,tam,uzun,Gizlilik filtresi uygula: tüm kişisel alanlar etikete dönüşsün.,"şirket aracının muayenesi yaklaştı plaka 42 FGU 8366 ruhsat no GG-605027. kayıp cihaz bildirimi imei 849876675104682 son konum 41.6849, 31.2242. yabancı müşteri kaydı uyruğu Rus pasaport A81230203. yurtdışı harcama onayı pasaport U95330815 kart 5194353898814593",şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO]. kayıp cihaz bildirimi imei [IMEI] son konum [KONUM]. yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO]. yurtdışı harcama onayı pasaport [PASAPORT_NO] kart [KART],[IMEI] [KART] [KONUM] [PASAPORT_NO] [PLAKA] [RUHSAT_NO] [UYRUK],[IMEI] [KART] [KONUM] [PASAPORT_NO] [PLAKA] [RUHSAT_NO] [UYRUK],şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO]. kayıp cihaz bildirimi imei [IMEI] son konum [KONUM]. yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO]. yurtdışı harcama onayı pasaport [PASAPORT_NO] kart [KART],True,False,False
31,tam,kayit,Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,"bayi ekranından gelen kayıt: konum 38.3977, 42.7371, adli kaydı denetimli serbestlik kaydı, poliçe no 3506/163161, ehliyet no F7856962, anne adı Ece, sözleşme no 6761-85295, müşteri no sıfır yedi doksan sekiz yirmi dört altmış sekiz, mac C4:ED:A8:71:E0:71, doğum yeri Ordu","bayi ekranından gelen kayıt: konum [KONUM], adli kaydı [CEZA_KAYDI], poliçe no [POLICE_NO], ehliyet no [EHLIYET_NO], anne adı [ANNE_ADI], sözleşme no [SOZLESME_NO], müşteri no [MUSTERI_NO], mac [MAC_ADRES], doğum yeri [DOGUM_YERI]",[ANNE_ADI] [CEZA_KAYDI] [DOGUM_YERI] [EHLIYET_NO] [KONUM] [MAC_ADRES] [MUSTERI_NO] [POLICE_NO] [SOZLESME_NO],[ANNE_ADI] [CEZA_KAYDI] [DOGUM_YERI] [EHLIYET_NO] [KONUM] [MAC_ADRES] [MUSTERI_NO] [POLICE_NO] [SOZLESME_NO],"bayi ekranından gelen kayıt: konum [KONUM], adli kaydı denetimli serbestlik kaydı, poliçe no [POLICE_NO], ehliyet no [EHLIYET_NO], anne adı [ANNE_ADI], sözleşme no [SOZLESME_NO], müşteri no [MUSTERI_NO], mac [MAC_ADRES], doğum yeri [DOGUM_YERI]",False,True,False
32,tam,ekli,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.",havale Ece Manço'ya gitsin dekont da ergul_demir@gmail.com'a düşsün,havale [AD]'ya gitsin dekont da [EMAIL]'a düşsün,[AD] [EMAIL],[AD] [EMAIL],havale [AD]'ya gitsin dekont da [EMAIL]'a düşsün,True,True,False
33,tam,ekli,Bu satırdaki her kişisel bilgiyi maskeleyerek yeniden yaz.,havale Tolga Tarhan'a gitsin dekont da edaaslan1@gmail.com'a düşsün,havale [AD]'a gitsin dekont da [EMAIL]'a düşsün,[AD] [EMAIL],[AD] [EMAIL],havale [AD]'a gitsin dekont da [EMAIL]'a düşsün,True,True,False
34,tam,ekli,Kişisel verileri tespit edip ilgili etiketlerle değiştir; başka değişiklik yapma.,TR453585053266507516117792'den gelen ödeme iade edilsin,[IBAN]'den gelen ödeme iade edilsin,[IBAN],[IBAN],[IBAN]'den gelen ödeme iade edilsin,True,True,False
35,tam,ekli,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,ödeme talimatını 9478-5727128-953'e bağlayın,ödeme talimatını [HESAP_NO]'e bağlayın,[HESAP_NO],[HESAP_NO],ödeme talimatını [HESAP_NO]'e bağlayın,True,True,False
36,tam,caps,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,KARTIMIN CVV Sİ 412 PİN İ 5220 KİMSEYLE PAYLAŞMADIM AMA ŞÜPHELİ İŞLEM VAR,KARTIMIN CVV Sİ [CVV] PİN İ [PIN] KİMSEYLE PAYLAŞMADIM AMA ŞÜPHELİ İŞLEM VAR,[CVV] [PIN],[CVV] [PIN],KARTIMIN CVV [CVV] PİN İ 5220 KİMSEYLE PAYLAŞMADIM AMA ŞÜPHELİ İŞLEM VAR,False,True,False
37,tam,duz,Bu satırdaki her kişisel bilgiyi maskeleyerek yeniden yaz.,vpn erişimi açılsın ip 115.93.253.254 mac 94:1A:85:EF:CA:32,vpn erişimi açılsın ip [IP_ADRES] mac [MAC_ADRES],[IP_ADRES] [MAC_ADRES],[IP_ADRES] [MAC_ADRES],vpn erişimi açılsın ip [IP_ADRES] mac [MAC_ADRES],True,True,False
38,tam,duz,Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,sağlık raporumda böbrek nakli geçmişi yazıyor sigorta primi değişir mi,sağlık raporumda [SAGLIK] yazıyor sigorta primi değişir mi,[SAGLIK],[SAGLIK],sağlık raporumda [SAGLIK] yazıyor sigorta primi değişir mi,True,True,False
39,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,sendika kesintisi neden yapıldı Bass-Sen üyesi görünüyorum,sendika kesintisi neden yapıldı [SENDIKA] görünüyorum,[SENDIKA],[SENDIKA],sendika kesintisi neden yapıldı [SENDIKA] görünüyorum,True,True,False
40,tam,ekli,Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,87072883632'nin üzerine kayıtlı hat sayısını öğrenebilir miyim,[TCKN]'nin üzerine kayıtlı hat sayısını öğrenebilir miyim,[TCKN],[TCKN],[TCKN]'nin üzerine kayıtlı hat sayısını öğrenebilir miyim,True,True,False
41,tam,duz,Bu satırdaki her kişisel bilgiyi maskeleyerek yeniden yaz.,şirket aracının muayenesi yaklaştı plaka 49 YSP 7743 ruhsat no CN-886635,şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO],[PLAKA] [RUHSAT_NO],[PLAKA] [RUHSAT_NO],şirket aracının muayenesi yaklaştı plaka [PLAKA] ruhsat no [RUHSAT_NO],True,True,False
42,tam,duz,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.","kayıp cihaz bildirimi imei 860977759138547 son konum 39.1973, 44.3201",kayıp cihaz bildirimi imei [IMEI] son konum [KONUM],[IMEI] [KONUM],[IMEI] [KONUM],kayıp cihaz bildirimi imei [IMEI] son konum [KONUM],True,True,False
43,tam,duz,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.",müşteri Dilek Zengin kredi notu 954 çıktı limit artışı uygun mu,müşteri [AD] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,[AD] [KREDI_NOTU],[AD] [KREDI_NOTU],müşteri [MUSTERI_NO] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,False,True,False
44,tam,uzun,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.",kredi başvurumun durumunu öğrenmek istiyorum adım Burak Akgündüz tc dokuz dokuz yedi yedi bir yedi dokuz altı sekiz dokuz iki. imza doğrulaması için e-imza sertifika seri no 8801533648 kayıtlarda mevcut. hesap hareketlerimi kadir_zengin@yandex.com adresine gönderin müşteri no MU4861788. çalışan Mihriye Aslan Yıldız Otomotiv AŞ bünyesinde 57 yaşında kadın. annemin kızlık soyadı Karadeniz güvenlik sorusunda kabul edilmiyor. din hanesi Hristiyan olarak görünüyor değiştirmek istiyorum,kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN]. imza doğrulaması için [IMZA] kayıtlarda mevcut. hesap hareketlerimi [EMAIL] adresine gönderin müşteri no [MUSTERI_NO]. çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [CINSIYET]. annemin kızlık soyadı [ANNE_KIZLIK] güvenlik sorusunda kabul edilmiyor. din hanesi [DIN] olarak görünüyor değiştirmek istiyorum,[AD] [ANNE_KIZLIK] [CINSIYET] [DIN] [EMAIL] [IMZA] [ISYERI] [MUSTERI_NO] [TCKN] [YAS],[AD] [ANNE_KIZLIK] [CINSIYET] [DIN] [EMAIL] [IMZA] [ISYERI] [MUSTERI_NO] [TCKN] [YAS],kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN]. imza doğrulaması için [IMZA] kayıtlarda mevcut. hesap hareketlerimi [EMAIL] adresine gönderin müşteri no [MUSTERI_NO]. çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında kadın. annemin kızlık soyadı [ANNE_KIZLIK] güvenlik sorusunda kabul edilmiyor. din hanesi [DIN] olarak görünüyor değiştirmek istiyorum,False,False,False
45,tam,uzun,Kişisel verileri tespit edip ilgili etiketlerle değiştir; başka değişiklik yapma.,poliçemi yenilemek istiyorum poliçe no POL-6005682 doğum tarihim 4 Haziran 1987. kartımın cvv si 369 pin i 7951 kimseyle paylaşmadım ama şüpheli işlem var. referans olarak Arısoy Ülker yazdım aranacak mı. hesap hareketlerimi ozcam1986@mynet.com adresine gönderin müşteri no MU8529762. kripto çekim adresim 0x3a0453efcf9804ddc2082e25817b78770630737f onay bekliyor. yabancı müşteri kaydı uyruğu İran pasaport U96963645,poliçemi yenilemek istiyorum poliçe no [POLICE_NO] doğum tarihim [DOGUM_TARIHI]. kartımın cvv si [CVV] pin i [PIN] kimseyle paylaşmadım ama şüpheli işlem var. referans olarak [REFERANS] yazdım aranacak mı. hesap hareketlerimi [EMAIL] adresine gönderin müşteri no [MUSTERI_NO]. kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor. yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO],[CVV] [DOGUM_TARIHI] [EMAIL] [KRIPTO_CUZDAN] [MUSTERI_NO] [PASAPORT_NO] [PIN] [POLICE_NO] [REFERANS] [UYRUK],[CVV] [DOGUM_TARIHI] [EMAIL] [KRIPTO_CUZDAN] [MUSTERI_NO] [PASAPORT_NO] [PIN] [POLICE_NO] [REFERANS] [UYRUK],poliçemi yenilemek istiyorum poliçe no [POLICE_NO] doğum tarihim [DOGUM_TARIHI]. kartımın cvv si [CVV] pin i [PIN] kimseyle paylaşmadım ama şüpheli işlem var. referans olarak [REFERANS] yazdım aranacak mı. hesap hareketlerimi [EMAIL] adresine gönderin müşteri no [MUSTERI_NO]. kripto çekim adresim [KRIPTO_CUZDAN] onay bekliyor. yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO],True,False,False
46,tam,cok_kisi,Kişisel verileri tespit edip ilgili etiketlerle değiştir; başka değişiklik yapma.,çalışan Selim Gülen Akdeniz Otomotiv AŞ bünyesinde 84 yaşında erkek ayrıca Bahçelievler Mah. Zambak Sokak No:50 Odunpazarı/Van'da oturan müşteri için kurye kaydı açın,çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [CINSIYET] ayrıca [ADRES]'da oturan müşteri için kurye kaydı açın,[ADRES] [AD] [CINSIYET] [ISYERI] [YAS],[ADRES] [AD] [CINSIYET] [ISYERI] [YAS],çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [AD] ayrıca [ADRES]'da oturan müşteri için kurye kaydı açın,False,False,False
